Id;FirmenNr;HaeuserNr;ETRS_UTM33N_X;ETRS_UTM33N_Y;Firma;Vorlage;FlurstuecksNr;BrandkatasterNr;Hausname;HausNr;Strasse;Strassenteil;Stadtteil;Gewerbename;Gewerbetyp;STR_NAME_2018;HNR_2018;PLZ_2018;FLURSTUECKSNR_2018;SBZ_NR_2018;SBZ_NAME_2018;OT_NR_2018;OT_NAME_2018;Unnamed: 23
1;157;1.0;317285.0339;5693054.0215;Fischer & Co., Verlag;Fischer & Co., Verlag;2699m;25G3;;22;Aeußere Hallische Straße;1 - 9 und 2 - 24;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Georg-Schumann-Straße;22;4155.0;2699m;0.0;Mitte;6.0;Zentrum-Nord;
2;2;2.0;316618.21;5693443.859;Otto Möbius;Möbius, Otto;297;49;;74;Aeußere Hallische Straße;11 - 165 und 36 - 144a;Gohlis;Buchbinderei;Buchbinderhandwerk;Georg-Schumann-Straße;0;4155.0;1937;9.0;Nord;90.0;Gohlis-Süd;
3;1;3.0;316230.7296;5693562.59699999;Georg Kelterborn;Kelterborn, Georg;274c;355B;;121;Aeußere Hallische Straße;11 - 165 und 36 - 144a;Gohlis;Buchbinderei;Buchbinderhandwerk;Georg-Schumann-Straße;121;4155.0;274c;9.0;Nord;90.0;Gohlis-Süd;
4;923;4.0;315460.7026;5693905.74589999;Schumann & Trommer;Schumann & Trommer, Inh.: F. Schumann u. J. Trommer;217a;241B;;160;Aeußere Hallische Straße;167 - 293 und 146 - 268;Möckern;Buchdruckerei;Druckerei und Buchhandel;Georg-Schumann-Straße;160;4159.0;217a;8.0;Nordwest;80.0;Möckern;
5;922;5.0;316529.601;5693440.582;Robert Saupe;Saupe, Robert;210b/210a;350B/350C;;91/93;Aeußere Hallische Straße;11 - 165 und 36 - 144a;Gohlis;Buchdruckerei;Druckerei und Buchhandel;Georg-Schumann-Straße;91/93;4155.0;210a;9.0;Nord;90.0;Gohlis-Süd;
6;158;6.0;314649.537299999;5694345.98259999;Rudolf Mejo;Mejo, Rudolf, Inh.: Georg W. Strübig;229k;219B;;248;Aeußere Hallische Straße;167 - 293 und 146 - 268;Möckern;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Georg-Schumann-Straße;248;4159.0;229k;8.0;Nordwest;80.0;Möckern;
7;159;6.0;314649.537299999;5694345.98259999;G. W. Strübig;Strübig, Georg W.;229k;219B;;248;Aeußere Hallische Straße;167 - 293 und 146 - 268;Möckern;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Georg-Schumann-Straße;248;4159.0;229k;8.0;Nordwest;80.0;Möckern;
8;160;7.0;316883.4216;5693300.52449999;O. Roßberg;Roßberg, O.;172q;77D;;49;Aeußere Hallische Straße;11 - 165 und 36 - 144a;Gohlis;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Georg-Schumann-Straße;49;4155.0;172q;9.0;Nord;90.0;Gohlis-Süd;
9;161;8.0;315363.968799999;5693915.94629999;E. Böttcher;Böttcher, E.;135;102;;205;Aeußere Hallische Straße;167 - 293 und 146 - 268;Möckern;Antiquariatsbuchhandlung;Buchhandel und Verlagswesen;Georg-Schumann-Straße;205;4159.0;135;8.0;Nordwest;80.0;Möckern;
10;162;9.0;314279.1507;5691077.2968;Alfred Fischer;Fischer, Alfred;359b;718;;29;Albertinerstraße;;Lindenau;Kolportagebuchhandlung;Buchhandel und Verlagswesen;Erich-Köhn-Straße;29;4177.0;359b;7.0;Alt-West;71.0;Altlindenau;
11;924;10.0;317405.63800000004;5689850.281;Carl Koppe;Carl Koppe, Inh.: Wilhelm Stephan;1032;270;;13;Albertstraße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Riemannstraße;0;4107.0;4119/3 und 4535;0.0;Mitte;3.0;Zentrum-Süd;
12;163;11.0;317389.76300000004;5689855.837;A. Kupfer's Nachfolger;Kupfer's Nachfolger, A.;1033;269;;15;Albertstraße;;Alt-Leipzig;Kolportagebuchhandlung;Buchhandel und Verlagswesen;Riemannstraße;0;4107.0;4119/3 und 4535;0.0;Mitte;3.0;Zentrum-Süd;
13;164;12.0;316995.90579999896;5689933.90939999;R. Dallmeier;R. Dallmeier, Inh.: Richard Dallmeier;888d;123G;;31;Albertstraße;;Alt-Leipzig;Groß-Antiquariatsbuchhandlung;Buchhandel und Verlagswesen;Riemannstraße;31;4107.0;888d;0.0;Mitte;3.0;Zentrum-Süd;
14;925;12.0;316995.90579999896;5689933.90939999;Paul Laban;Laban, Paul;888d;123G;;31;Albertstraße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Riemannstraße;31;4107.0;888d;0.0;Mitte;3.0;Zentrum-Süd;
15;165;13.0;315809.7311;5691438.9359;"Verlag des ""Handelsgesellschafter"" (J. Bauer)";"Verlag des ""Handelsgesellschafter"" (J. Bauer), Inh.: Josef Bauer";2098h;1424U;;14;An der alten Elster;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Friedrich-Ebert-Straße;116;4105.0;2098h;0.0;Mitte;5.0;Zentrum-Nordwest;
