Id;Firma;idn
1;Fischer & Co., Verlag;[]
2;Otto Möbius;[]
3;Georg Kelterborn;[]
4;Schumann & Trommer;[]
5;Robert Saupe;[]
6;Rudolf Mejo;[]
7;G. W. Strübig;[]
8;O. Roßberg;[]
9;E. Böttcher;[]
10;Alfred Fischer;[]
11;Carl Koppe;[]
12;A. Kupfer's Nachfolger;[]
13;R. Dallmeier;[]
14;Paul Laban;[]
15;"Verlag des ""Handelsgesellschafter"" (J. Bauer)";[]
16;Jordan & Co.;[]
17;Arthur Kade;[]
18;Walther Fiedler, Verlagsbuchhandlung,;[]
19;A. Badstübner;[]
20;Oskar Richter;[]
21;Ernst Schmidt;[]
22;Leonhard Geyer;[]
23;W. Dietze;['107298332X', '1072971909', '1072971895', '1072971992', '1072971887']
24;P. Scheffel;[]
25;A. Rudolph;[]
26;Friedrich W. Trotzky & Co;[]
27;Richard Ehlert;[]
28;Journal für Buchbinderei, M. Päcke;[]
29;Martin Starke;[]
30;Paul Radestock Sortiment u. Antiquariat;[]
31;Carl August Dittrich;[]
32;Arthur R. Teichmann;[]
33;Teichmann & Co.;[]
34;Teichmann & Co.;[]
35;G. Herbrich;[]
36;Mohr & Dutzauer;[]
37;Hegel & Schade;[]
38;Ernst Graubner;['1072909448']
39;E. Knorr;[]
40;E. Knorr;[]
41;O. Tieß;[]
42;H. Laue;[]
43;Winkler & Wolfensteller;[]
44;Winkler & Wolfensteller;[]
45;A. Wede;[]
46;Emil Wede;[]
47;Gebr. Gerhardt;[]
48;Gebr. Gerhardt;[]
49;Georg Kummer's Verlag;['1056899352']
50;Otto Groß;[]
51;Wagner & Schmidt;[]
52;August Rudert;[]
53;Hans Licht;['1072985780']
54;Hans Licht;['1072985780']
55;R. Schönherr;[]
56;O. Richter;[]
57;Felix Hille;[]
58;Arno Siegel;[]
59;Carl Pröhl;[]
60;Louis Müller;[]
61;Walter Graeb;[]
62;P. Vogel;[]
63;Anna Strauß;[]
64;Carl Jacobsen, Verlagsbuchhandlung;['1073057771']
65;W. Voigtländer;[]
66;Alfred König;[]
67;J. C. Hinrichs'sche Buchhandlung;[]
68;J. C. Hinrichs'sche Buchhandlung;[]
69;Louis Stefke;['1073084396', '1072884860']
